NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
25.44264806,-11.53,-0.98,-4
25.50975693,-7.65,-4.86,-3.61
25.60203162,-6.55,-1.29,-3.53
25.6859177,-7.96,-0.55,-2.08
25.75302656,-7.49,-0.86,-1.96
25.83691264,-11.81,-3.53,-2.86
25.91241011,-10.79,-1.02,0.24
26.05501645,-16.08,1.73,-7.73
26.18923418,-11.38,-3.8,-3.53
26.25634304,-9.34,-0.35,-4
26.33184051,-7.49,-2.59,-3.14
26.35700634,-7.69,-3.37,-1.73
26.39894938,-8.83,-2.43,-2.39
26.47444685,-10.98,-4.98,-3.33
26.55833293,-9.49,-6.28,-1.84
26.65060762,-14.12,-6,-5.49
26.7344937,-13.14,-2.28,-3.61
26.79321395,-8.36,-4.79,-4.28
26.9442089,-7.22,-0.82,-3.33
27.00292915,-8.47,-1.02,-2.63
27.07003802,-8.59,-1.18,-1.84
27.13714688,-10.28,-2.51,-2.79
27.21264435,-11.65,-1.26,0
27.29653043,-16.28,-0.04,-6.75
27.38041651,-8.63,-2.39,-3.92
27.45591398,-9.14,-1.02,-4.16
27.5817431,-6.04,-2.35,-3.26
27.62368614,-8.83,-2.94,-1.8
27.69079501,-7.57,-3.73,-2.08
27.7830697,-11.49,-4.24,-2.43
27.85017856,-10.28,-4.98,-0.82
27.98439629,-13.85,-8.94,-6.08
28.05989376,-12.83,-1.84,-3.88
28.12700262,-8.43,-4.86,-3.69
28.2025001,-6.83,-1.49,-3.14
28.26122035,-8.67,0,-1.92
28.78131405,-8.36,-1.37,-1.02
29.30140774,-12.55,-3.77,-2.94
29.32657357,-11.14,0.51,-1.33
29.33496218,-14.91,-0.51,-5.84
29.33496218,-11.18,-4.67,-10.63
29.33496218,-12.32,-1.02,-4.04
