NAME:,walk_2_1,,
EXPERIMENT TIME:,Thu Jun 08 14:03:40 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,117,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
57.57,9.69,-1.96,-0.12
57.671,8.87,-3.84,-0.04
57.772,5.18,0.35,1.65
57.873,8.39,-2.35,3.53
57.974,17.77,-4.63,2.39
58.075,9.22,-0.78,-0.82
58.176,9.18,-2.39,-0.08
58.277,6.04,-2,-0.82
58.378,7.26,-4.71,0.31
58.479,13.69,-6.39,-2.24
58.58,10.12,-1.26,-1.26
58.681,11.85,-2.98,-0.08
58.782,5.14,-0.98,0.51
58.883,5.61,-1.57,1.84
58.984,14.08,-4.39,3.77
59.085,11.02,-1.18,2.24
59.186,10.2,-2.55,-0.08
59.287,6.71,-3.06,-1.8
59.388,6.75,-2.67,-0.67
59.489,7.49,-4.35,-0.78
59.59,14.28,-8.55,-1.02
59.691,12.36,-1.84,-3.96
59.792,9.3,-2.35,0.35
59.893,6.71,0,-0.47
59.994,4.9,-0.55,0.35
60.095,6.59,-2.12,3.41
60.196,13.02,-4.63,3.41
60.297,4.9,-1.45,-0.86
60.398,9.92,0.67,-0.16
60.499,7.3,-3.57,-0.47
60.6,9.18,-5.14,0.9
60.701,13.89,-3.33,-0.31
60.802,10.08,-1.06,-0.47
60.903,11.92,-3.22,-0.51
61.004,3.1,-4.28,1.8
61.105,9.22,-4.55,2.39
61.206,13.22,-3.37,3.02
61.307,11.61,-0.86,-1.1
61.408,11.45,-1.33,-1.53
61.509,7.3,-1.37,-1.57
61.61,8,-6.35,-0.82
61.711,8.9,-2.79,-1.14
61.812,14.24,-3.22,-0.71
61.913,8.79,-2,-2.43
62.014,11.92,-7.41,-1.14
62.115,4.16,-1.65,1.92
62.216,5.53,-2,1.8
62.317,15.69,-5.06,2.59
62.418,17.57,0.71,-0.12
62.519,7.53,-3.02,-0.39
62.62,7.14,-0.39,-0.31
62.721,8,-6.24,0.24
62.822,9.92,-3.96,0.71
62.923,16.71,-3.02,-3.61
63.024,11.73,-0.78,-0.47
63.125,7.57,-3.61,0.35
63.226,3.84,-2.47,2.59
63.327,13.53,-3.65,1.06
63.428,16.99,-3.45,0
63.529,6.39,-1.02,-0.43
63.63,8,-0.35,0.67
63.731,7.37,-4.75,-0.71
63.832,9.38,-2.24,0.55
63.933,12.12,-2.08,-0.08
64.034,11.89,-1.57,-1.57
64.135,8.2,-4.43,-0.63
64.236,8.16,-0.16,0.47
