"NAME:","walk_4_1"
"EXPERIMENT TIME:","2023-06-09 16:46:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"28.056","2.43","-6.24","9.61"
"28.107","1.69","-5.14","7.26"
"28.158","1.22","-6.79","8.94"
"28.209","0.78","-5.77","7.06"
"28.26","0.71","-4.24","5.65"
"28.311","-0.43","-2.12","5.69"
"28.362","0.98","-4.82","7.1"
"28.413","2.67","-7.73","11.49"
"28.464","0.86","-5.37","8.67"
"28.515","0.86","-6.59","9.53"
"28.566","0.98","-7.77","11.22"
"28.617","2.04","-7.96","8.71"
"28.668","-1.06","-4.2","6.35"
"28.719","-0.04","-3.61","6.63"
"28.77","1.02","-3.53","5.77"
"28.821","1.1","-3.14","5.81"
"28.872","0.94","-2.86","6.12"
"28.923","1.84","-4.59","8.59"
"28.974","2.67","-5.06","9.41"
"29.025","2.28","-6.9","12.63"
"29.076","1.57","-7.77","12.36"
"29.127","2.43","-6.0","8.32"
"29.178","0.9","-3.96","5.88"
"29.229","1.92","-6.79","8.9"
"2066.637","1.02","-4.75","5.69"
"29.382","0.35","-2.86","6.71"
"29.433","1.37","-4.59","7.53"
"29.484","2.51","-6.75","9.85"
"29.535","1.22","-8.04","10.24"
"29.586","0.63","-6.94","9.22"
"29.637","3.73","-9.53","10.79"
"29.688","1.84","-6.83","6.79"
"29.739","-1.88","-4.59","8.08"
"29.79","0.59","-5.22","7.1"
"29.841","1.29","-4.55","6.47"
"29.892","1.22","-3.61","5.53"
"29.943","-0.27","-2.24","7.02"
"2073.7795","1.45","-4.39","8.75"
"30.096","-0.2","-5.77","11.41"
"30.147","1.92","-8.28","11.06"
"30.198","3.06","-7.41","7.92"
"30.249","1.14","-4.94","5.45"
"30.3","2.63","-6.83","8.36"
"30.351","2.59","-5.61","6.24"
"30.402","0.9","-3.14","4.86"
"30.453","0.55","-2.16","5.06"
"2078.878","0.63","-4.08","8.55"
"31.374","1.61","-5.33","6.24"
"31.425","0.98","-2.9","3.88"
"31.476","0.27","-2.79","5.3"
"31.527","0.39","-3.77","7.41"
"31.578","0.55","-5.49","10.16"
"31.629","0.24","-6.63","10.4"
"31.68","0.75","-7.61","9.77"
"31.731","0.04","-6.79","10.98"
"31.782","1.92","-8.04","8.67"
"31.833","0.27","-6.63","7.45"
"31.884","0.12","-7.1","7.92"
"31.935","0.27","-4.94","7.34"
"31.986","-0.04","-2.47","5.3"
"32.037","0.67","-2.24","5.18"
"32.088","1.29","-3.57","7.77"
"32.139","4.47","-7.22","10.08"
"2095.739","2.63","-5.96","9.96"
"32.292","3.41","-7.96","10.83"
"32.343","2.47","-5.22","6.75"
"32.394","1.06","-5.57","8.2"
"32.445","2.51","-6.2","8.12"
"32.496","2.16","-4.75","5.37"
"32.547","0.71","-2.98","5.26"
"32.598","1.49","-3.92","6.86"
"32.649","0.78","-4.51","7.57"
"32.7","2.43","-8.04","9.49"
"32.751","1.53","-7.34","9.85"
"32.802","2.43","-8.63","10.9"
"32.853","2.9","-8.87","8.71"
"32.904","-0.04","-5.77","7.81"
"2103.388","0.27","-4.04","5.65"
"33.057","0.75","-1.88","5.18"
"33.108","2.12","-2.94","5.33"
"33.159","2.2","-4.82","10.24"
"33.21","3.22","-6.16","10.98"
"33.261","1.73","-4.98","11.1"
"33.312","2.16","-5.3","10.0"
"33.363","4.51","-6.86","9.73"
"33.414","3.37","-5.45","6.75"
"33.465","2.51","-6.63","7.88"
"33.516","0.0","-3.88","5.65"
"33.567","0.35","-4.2","6.51"
