"NAME: ","run_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:41:12"
"ACTIVITY TYPE: ","RUNNING"
"COUNT OF ACTUAL STEPS: ","130"

"Time[sec]","ACC X","ACC Y","ACC Z"
"47.9","-5.26","4.98","-2.24"
"48.0","-9.65","15.30","4.47"
"48.1","-5.45","11.85","3.77"
"48.2","1.29","3.33","0.59"
"48.3","1.26","5.37","0.24"
"48.4","-6.28","15.26","6.16"
"48.5","-5.45","11.65","6.71"
"48.6","-3.73","5.37","-0.59"
"48.7","-4.67","2.67","-1.49"
"48.8","-5.02","8.94","4.43"
"48.9","-5.96","13.53","8.32"
"49.0","-4.75","7.57","3.96"
"49.1","-3.53","4.08","0.04"
"49.2","0.08","2.90","0.04"
"49.3","-0.51","11.53","4.59"
"49.4","-7.96","13.65","6.67"
"49.5","-6.00","10.04","8.24"
"49.6","-4.04","2.20","0.35"
"49.7","-3.65","2.00","0.24"
"49.8","-7.26","4.79","2.82"
"49.9","-11.14","11.26","8.51"
"50.0","-7.57","10.59","5.33"
"50.1","-1.53","4.79","2.67"
"50.2","0.82","0.55","3.14"
"50.3","-4.94","13.49","9.14"
"50.4","-8.28","10.12","4.00"
"50.5","-4.90","4.39","1.37"
"50.6","-6.04","4.82","-1.37"
"50.7","-7.22","5.06","-0.59"
"50.8","-10.47","12.94","1.61"
"50.9","-4.04","11.18","1.65"
"51.0","0.71","5.14","1.18"
"51.1","-1.57","8.63","2.20"
"51.2","-6.28","11.77","4.35"
"51.3","-9.38","9.26","2.47"
"51.4","-4.00","4.04","0.98"
"51.5","-3.49","2.31","-1.14"
"51.6","-11.02","7.22","2.71"
"51.7","-13.89","10.83","2.12"
"51.8","-3.96","8.47","2.16"
"51.9","0.24","3.49","-1.65"
"52.0","-1.14","6.67","0.67"
"52.1","-8.71","11.22","8.47"
"52.2","-6.67","10.83","5.88"
"52.3","-4.08","2.35","1.45"
"52.4","-8.24","3.30","-0.55"
"52.5","-9.45","9.81","5.73"
"52.6","-6.12","15.38","8.32"
"52.7","-0.39","7.10","2.12"
"52.8","1.53","2.04","-0.27"
"52.9","-1.14","6.32","4.55"
"53.0","-9.49","12.51","6.24"
"53.1","-6.75","9.10","4.67"
"53.2","-4.08","2.71","0.12"
"53.3","-4.51","4.24","3.88"
"53.4","-9.77","8.32","8.90"
"53.5","-6.71","13.93","7.49"
"53.6","0.27","4.43","1.65"
"53.7","2.24","2.98","0.71"
"53.8","-6.00","9.18","7.73"
"53.9","-8.28","10.75","6.94"
"54.0","-4.04","4.79","3.77"
"54.1","-5.96","1.49","-0.43"
"54.2","-8.75","6.59","7.10"
"54.3","-10.83","13.69","4.82"
"54.4","-4.51","8.43","5.73"
"54.5","-0.94","6.32","-1.49"
"54.6","1.53","4.79","3.10"
"54.7","-7.53","11.85","10.12"
"54.8","-8.67","9.45","7.85"
"54.9","-5.57","3.49","1.73"
"55.0","-5.53","3.10","0.20"
"55.1","-12.00","5.37","5.61"
"55.2","-8.24","8.79","7.77"
"55.3","-4.63","7.41","2.86"
"55.4","0.00","3.57","0.51"
"55.5","0.43","5.92","2.51"
"55.6","-4.63","16.32","9.22"
"55.7","-6.71","9.96","8.75"
"55.8","-3.57","3.14","2.31"
"55.9","-4.28","0.47","-0.20"
"56.0","-12.94","2.90","4.98"
"56.1","-8.43","9.81","9.06"
"56.2","-2.71","8.43","4.35"
"56.3","1.06","2.51","0.20"
"56.4","1.73","5.14","2.47"
"56.5","-5.10","18.01","11.30"
"56.6","-8.79","7.77","5.22"
"56.7","-4.86","1.61","0.08"
"56.8","-5.10","2.00","-1.37"
"56.9","-14.16","13.49","8.28"
"57.0","-7.61","10.12","5.57"
"57.1","-1.53","5.06","2.55"
"57.2","2.00","3.84","1.18"
"57.3","-3.22","5.84","4.31"
"57.4","-8.04","13.10","7.06"
"57.5","-5.77","5.18","3.26"
"57.6","-4.04","1.84","1.88"
"57.7","-8.83","4.51","2.94"
"57.8","-10.12","11.89","9.53"
"57.9","-3.61","8.87","10.90"
"58.0","1.14","3.80","2.75"
"58.1","2.16","4.28","2.16"
"58.2","-4.79","11.57","7.96"
"58.3","-8.36","10.67","7.61"
"58.4","-2.08","5.45","6.32"
"58.5","-2.86","1.84","-0.82"
"58.6","-7.92","3.92","-0.16"
"58.7","-12.04","15.30","9.14"
"58.8","-2.47","10.98","9.73"
"58.9","0.20","4.24","2.31"
"59.0","1.26","2.86","2.31"
"59.1","-2.31","9.06","4.75"
