"NAME: ","walk_3_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:39:39"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","56"

"Time[sec]","ACC X","ACC Y","ACC Z"
"44.1","-5.33","8.98","0.98"
"44.2","-5.33","7.49","0.59"
"44.3","-5.92","7.57","0.71"
"44.4","-6.00","7.26","0.20"
"44.5","-5.69","6.12","1.02"
"44.6","-6.32","6.39","0.90"
"44.7","-6.94","10.51","-0.75"
"44.8","-6.43","9.06","-0.27"
"44.9","-6.39","9.96","-1.06"
"45.0","-6.32","9.61","-0.47"
"45.1","-5.45","7.61","-0.12"
"45.2","-5.37","7.22","0.63"
"45.3","-6.35","6.94","0.04"
"45.4","-7.18","6.90","-0.59"
"45.5","-7.37","5.88","-0.51"
"45.6","-6.08","7.49","-0.43"
"45.7","-6.04","10.12","0.04"
"45.8","-4.86","10.24","0.71"
"45.9","-4.63","8.79","0.67"
"46.0","-5.45","9.10","0.12"
"46.1","-5.81","8.08","0.75"
"46.2","-5.88","7.10","0.75"
"46.3","-5.61","5.92","0.16"
"46.4","-7.06","7.88","-0.12"
"46.5","-7.34","9.06","-0.67"
"46.6","-5.88","9.30","-0.86"
"46.7","-5.92","8.08","-0.94"
"46.8","-5.92","8.39","-0.55"
"46.9","-7.14","8.12","0.43"
"47.0","-7.30","6.63","-0.47"
"47.1","-7.34","5.92","-0.59"
"47.2","-7.57","6.24","-0.55"
"47.3","-7.45","8.32","-0.31"
"47.4","-7.34","9.38","-0.63"
"47.5","-6.00","7.69","-0.39"
"47.6","-4.82","6.79","0.75"
"47.7","-5.10","6.59","-0.39"
"47.8","-6.59","8.32","0.35"
"47.9","-7.57","8.43","0.35"
"48.0","-7.53","9.26","0.86"
"48.1","-7.45","9.06","-0.16"
"48.2","-6.32","6.86","0.63"
"48.3","-5.49","6.08","0.94"
"48.4","-6.00","6.24","0.82"
"48.5","-6.75","6.28","0.24"
"48.6","-6.90","6.32","0.12"
"48.7","-7.45","7.69","0.04"
"48.8","-6.75","8.08","-1.53"
"48.9","-6.94","10.63","-1.65"
"49.0","-6.12","9.57","-0.39"
"49.1","-5.77","8.08","0.39"
"49.2","-6.79","7.69","0.59"
"49.3","-7.41","7.18","-0.04"
"49.4","-7.34","7.26","-0.71"
"49.5","-6.79","8.00","-0.47"
"49.6","-6.00","6.63","0.59"
"49.7","-7.18","6.08","-0.39"
"49.8","-6.67","7.18","0.43"
"49.9","-6.35","8.47","0.00"
"50.0","-5.41","8.87","1.06"
"50.1","-5.37","8.39","0.20"
"50.2","-6.83","9.49","0.98"
"50.3","-6.39","8.12","-0.31"
"50.4","-5.14","5.88","0.78"
"50.5","-5.77","6.55","1.26"
"50.6","-6.71","7.53","0.90"
"50.7","-7.22","8.24","2.00"
"50.8","-6.55","8.63","0.24"
"50.9","-5.77","6.98","-0.47"
"51.0","-5.37","7.45","-0.75"
"51.1","-5.84","7.61","-0.04"
"51.2","-7.06","8.43","0.98"
"51.3","-7.92","9.34","-0.08"
"51.4","-6.79","7.41","0.35"
"51.5","-6.28","6.08","0.35"
"51.6","-7.34","7.37","0.24"
"51.7","-7.45","7.02","-0.27"
"51.8","-7.26","7.41","0.63"
"51.9","-5.88","8.63","0.67"
"52.0","-4.90","7.45","1.14"
"52.1","-5.30","8.55","1.26"
"52.2","-6.24","7.26","0.04"
"52.3","-6.16","6.04","1.80"
"52.4","-8.63","8.47","-0.55"
"52.5","-7.57","5.81","-0.94"
"52.6","-6.63","5.61","1.14"
"52.7","-8.43","8.51","-2.31"
"52.8","-7.22","8.94","-2.71"
"52.9","-5.77","7.34","-3.49"
"53.0","-5.73","7.92","-2.08"
"53.1","-7.02","7.14","-1.61"
"53.2","-6.55","7.45","-0.08"
"53.3","-7.88","6.98","-1.53"
"53.4","-8.39","8.24","-1.29"
"53.5","-7.18","7.10","-1.06"
"53.6","-6.98","6.59","-1.73"
"53.7","-7.02","6.79","-1.18"
"53.8","-7.14","8.16","-0.67"
"53.9","-6.75","8.90","-0.98"
"54.0","-5.26","8.12","-0.90"
"54.1","-4.94","7.41","0.27"
"54.2","-5.77","8.24","-0.55"
"54.3","-6.04","8.08","0.12"
"54.4","-7.53","8.71","-0.16"
"54.5","-7.65","8.20","-0.51"
"54.6","-5.61","6.20","0.90"
"54.7","-6.79","7.73","-0.59"
"54.8","-6.79","9.02","-0.59"
"54.9","-6.12","8.63","-0.94"
"55.0","-5.77","7.06","-1.49"
"55.1","-7.14","8.00","-1.80"
"55.2","-5.30","9.02","-0.04"
"55.3","-6.08","6.55","-1.22"
"55.4","-8.39","8.16","-2.00"
"55.5","-8.08","8.94","-1.29"
"55.6","-6.86","7.41","-1.57"
"55.7","-6.20","6.35","-0.55"
"55.8","-6.90","7.69","-0.90"
"55.9","-7.37","8.00","-1.06"
"56.0","-6.83","8.55","-2.04"
"56.1","-5.45","8.79","-0.71"
"56.2","-4.90","7.45","-0.71"
"56.3","-5.41","8.16","-0.27"
"56.4","-5.92","8.39","0.47"
"56.5","-7.81","8.39","-0.04"
"56.6","-6.83","8.51","-0.43"
"56.7","-5.30","6.32","0.82"
"56.8","-6.28","6.94","0.00"
"56.9","-7.69","8.51","-1.02"
"57.0","-6.67","10.20","0.08"
"57.1","-4.86","7.85","0.31"
"57.2","-5.57","5.81","-1.88"
"57.3","-6.51","8.67","-1.45"
"57.4","-7.96","8.55","-0.90"
"57.5","-6.67","8.16","-2.00"
"57.6","-6.28","7.77","-0.24"
"57.7","-6.79","6.39","-0.43"
"57.8","-7.02","6.98","-0.20"
"57.9","-7.26","8.75","-0.78"
"58.0","-6.47","8.94","-0.63"
"58.1","-4.82","7.65","-0.47"
"58.2","-4.59","8.39","-0.39"
"58.3","-5.02","8.00","0.63"
"58.4","-6.47","8.71","1.33"
"58.5","-8.08","9.10","0.47"
"58.6","-6.79","6.79","-0.67"
"58.7","-5.92","6.90","-0.67"
"58.8","-6.86","7.85","0.08"
"58.9","-7.30","10.55","1.02"
"59.0","-5.57","7.37","0.04"
"59.1","-5.02","6.16","-0.90"
"59.2","-5.57","8.04","-0.98"
"59.3","-5.92","8.59","0.16"
"59.4","-7.49","7.18","-0.16"
"59.5","-7.61","9.73","0.08"
"59.6","-7.02","7.41","-0.98"
"59.7","-6.79","6.71","-0.71"
"59.8","-6.51","8.83","-0.35"
"59.9","-6.32","9.89","-0.47"
"60.0","-4.16","8.43","-0.24"
"60.1","-3.80","7.96","0.98"
"60.2","-5.30","7.73","0.16"
"60.3","-5.73","7.65","1.37"
"60.4","-6.94","8.98","0.98"
"60.5","-7.49","9.53","-0.39"
"60.6","-6.16","6.39","-0.12"
"60.7","-6.00","7.45","-0.04"
"60.8","-6.20","8.67","-0.98"
"60.9","-5.41","9.22","-0.39"
"61.0","-5.65","8.43","-0.47"
"61.1","-5.81","9.18","-0.43"
"61.2","-5.30","8.43","-0.43"
"61.3","-6.00","7.45","0.35"
"61.4","-6.55","7.41","-0.39"
