NAME:,matan w 1,,
EXPERIMENT TIME:,Thu Jun 01 11:56:25 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
56.66504704,7.26,-3.22,-1.26
56.75732173,6.86,-3.26,-2.04
56.84959642,15.02,-3.26,-2.86
56.91670528,11.57,-6.55,-4.98
57.01736858,4.71,2.2,-2.47
57.10125466,13.65,-6.55,-4.71
57.15997491,8.87,-2.47,-1.8
57.22708378,7.92,-1.18,-2.9
57.32774707,6.71,-1.02,-0.82
57.41163315,9.85,-1.45,-3.06
57.49551923,14.28,-1.61,-2.98
57.55423949,9.96,2.39,-4.47
57.63812557,4.98,-2.75,-4.04
57.73040026,10.08,-1.37,-1.8
57.82267494,4.94,0,-4.16
57.89817242,9.69,-4.39,-1.69
57.97366989,7.65,-2.94,-1.53
58.04077875,6.86,-3.22,-2.82
58.17499648,12.12,-1.73,-3.53
58.25049395,9.41,-6.39,-4.12
58.30921421,5.02,1.18,-4.08
58.36793446,12.36,-3.96,-5.57
58.45182054,9.06,-2.55,-3.45
58.54409523,8.12,-0.9,-2.28
58.62798131,6.71,-1.8,-0.9
58.71186739,10.51,-0.78,-3.8
58.77897626,13.89,-3.77,-5.49
58.86286234,10.79,0.71,-4.94
58.93835981,5.1,-2.98,-4.47
59.02224589,10.71,-1.18,-2.86
59.15646362,6.75,-1.65,-2.43
59.22357248,8.75,-4,-1.73
59.27390413,7.14,-2.43,-0.67
59.33262438,9.18,-2.35,-2.98
59.41651046,12.32,-2.28,-2.28
59.50878515,8,-7.49,-4
59.60944845,5.14,1.96,-3.41
60.10437632,13.61,-6.86,-4.47
60.62447002,8.94,-1.8,-2.71
60.63285862,7.96,-1.22,-2.24
60.67480166,7.1,-1.18,-0.78
60.67480166,11.18,-1.49,-3.22
60.68319027,9.1,-3.18,-2.51
60.72513331,14.44,-3.18,-4.71
60.80063078,5.88,-4.39,-3.49
60.9180713,7.69,-0.04,-4.59
60.98518016,9.85,-3.41,-3.61
61.05228902,8.43,-2.31,-3.84
61.11939789,8.39,-0.75,-1.84
61.20328397,5.84,-1.77,-0.71
61.28717005,10.63,-2.71,-5.37
61.37944474,15.81,-4.9,-4.79
61.45494221,9.26,0.27,-3.26
61.53882829,3.57,-2.47,-4.35
61.60593715,13.57,-2.43,-3.26
61.68982323,7.18,-0.39,-3.69
61.78209792,7.37,-3.02,-2.59
61.88276122,6.86,-3.41,-0.82
61.94987008,8.71,-4.94,-3.73
62.01697894,12.79,-1.65,-2.24
62.10925363,8.51,-6.43,-4.31
62.1847511,4.9,1.61,-4.31
62.27702579,13.26,-6.51,-5.3
62.34413466,8.59,-2.31,-3.02
62.42802074,8.55,-1.29,-2.43
62.51190682,6.2,-1.33,-0.78
62.5957929,10.67,-1.45,-4.04
62.66290176,16.67,-4.04,-6.71
62.73839923,8.79,0.31,-3.33
62.84745114,4.2,-2,-4.39
62.91456,12.94,-2.86,-2.63
62.98166886,6.55,-1.02,-3.49
63.07394355,7.77,-3.14,-2.39
63.15782963,7.1,-2.63,-1.1
63.24171571,8.2,-3.33,-2.55
63.31721318,12.94,-3.88,-3.18
63.40109926,7.85,-5.69,-4.2
63.46820813,5.77,1.37,-4.86
63.56887142,11.53,-4.43,-4.67
63.6527575,8.71,-2.98,-3.8
63.71147776,7.96,-0.82,-2.63
63.8624727,6.83,-0.78,-1.49
63.92958157,10,-1.69,-3.14
63.98830182,12.91,-4.31,-2.16
64.05541069,11.92,1.49,-4.63
64.13929677,3.92,-2.35,-4
64.19801702,9.41,-0.86,-4.47
64.2819031,8.2,-1.14,-3.22
64.37417779,7.77,-2.79,-2.9
64.44967526,7.77,-3.14,-1.18
64.54194995,6.28,-3.61,-2.94
