"NAME: ","wal_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:35:29"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","100"

"Time[sec]","ACC X","ACC Y","ACC Z"
"49.7","-9.85","7.45","3.37"
"49.8","-8.47","6.86","2.82"
"49.9","-8.71","7.18","0.71"
"50.0","-5.96","4.20","0.31"
"50.1","-6.08","3.77","0.71"
"50.2","-8.47","4.86","1.80"
"50.3","-9.81","6.63","2.08"
"50.4","-7.69","5.81","2.75"
"50.5","-6.83","7.96","2.16"
"50.6","-4.98","3.88","0.86"
"50.7","-6.75","4.79","0.55"
"50.8","-8.98","6.12","1.73"
"50.9","-10.43","8.47","2.59"
"51.0","-7.53","6.39","1.02"
"51.1","-6.98","7.14","0.86"
"51.2","-5.73","5.14","0.63"
"51.3","-5.57","4.86","-0.08"
"51.4","-8.59","9.10","1.18"
"51.5","-8.55","9.65","2.63"
"51.6","-7.06","9.22","1.18"
"51.7","-5.65","5.65","0.55"
"51.8","-5.22","3.69","0.51"
"51.9","-6.83","3.41","1.61"
"52.0","-9.41","7.53","2.39"
"52.1","-9.89","9.30","2.51"
"52.2","-7.69","7.14","0.98"
"52.3","-6.24","4.63","0.59"
"52.4","-6.28","3.84","0.71"
"52.5","-7.85","5.26","0.90"
"52.6","-9.14","7.85","1.53"
"52.7","-8.16","7.02","2.12"
"52.8","-7.57","8.16","1.84"
"52.9","-6.35","5.18","1.37"
"53.0","-6.35","3.65","1.14"
"53.1","-8.75","2.67","2.39"
"53.2","-10.16","6.51","2.47"
"53.3","-7.69","5.30","1.73"
"53.4","-8.47","7.22","1.02"
"53.5","-7.18","4.31","0.51"
"53.6","-7.26","3.96","1.14"
"53.7","-8.83","4.08","1.57"
"53.8","-10.59","8.75","2.20"
"53.9","-7.88","6.32","0.82"
"54.0","-6.67","7.14","0.67"
"54.1","-6.24","4.94","0.94"
"54.2","-5.96","3.57","1.18"
"54.3","-7.73","3.37","2.12"
"54.4","-9.65","5.61","2.90"
"54.5","-10.55","7.57","3.06"
"54.6","-8.24","5.96","0.43"
"54.7","-6.28","4.04","0.08"
"54.8","-6.59","3.77","0.94"
"54.9","-8.32","4.98","1.80"
"55.0","-9.65","7.06","2.39"
"55.1","-8.12","6.16","2.28"
"55.2","-7.02","6.43","2.20"
