NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
32.77429146,-1.84,-1.1,-3.22
32.84978893,-20.01,0.63,-16.4
32.9252864,-20.01,6.2,-9.1
33.00078387,-8.32,-1.57,-4.79
33.08466995,3.77,4.98,-1.84
33.17694464,-1.8,-3.26,-1.18
33.6634839,-10.24,-1.02,-11.34
33.68026112,-20.01,5.61,-9.3
33.69703834,-20.01,3.77,-11.57
33.72220416,-1.69,4.12,0.67
33.78931302,-2.2,0.31,1.45
33.79770163,-12.4,0.55,-12.59
33.8648105,-20.01,-0.47,-12.4
33.90675354,-15.53,2.31,-7.92
33.9738624,-0.9,-0.59,1.02
34.04935987,-1.14,2.94,0.35
34.13324595,-2.31,1.61,-3.1
34.19196621,-17.97,0.67,-12.87
34.27585229,-18.67,-2.79,-12.63
34.34296115,-12.47,0.51,-7.65
34.41007002,1.96,-1.88,-0.12
34.5023447,0.08,1.33,-0.67
34.603008,-0.39,0.04,-4.2
34.69528269,-20.01,1.26,-12.16
34.80433459,-20.01,4.16,-9.34
34.89660928,-5.26,1.1,-4.51
34.94694093,1.26,2.39,0.94
35.0224384,-3.84,-0.51,-0.75
35.1231017,-14.75,1.33,-7.34
35.19859917,-20.01,-0.75,-12.47
35.24893082,-18.04,1.69,-10.28
35.32442829,-2.67,1.26,0.24
35.41670298,-0.82,-0.71,-0.51
35.52575488,-1.88,1.33,-1.26
35.63480678,-14.04,-2.9,-10.71
35.71030426,-18.24,-0.27,-11.77
35.77741312,-15.06,2.51,-7.61
35.82774477,0.51,-3.26,-0.16
35.89485363,0.55,4.35,-2.9
35.9703511,-2.63,-1.53,-2.94
36.0710144,-20.01,3.06,-13.49
36.1716777,-20.01,0.78,-10.98
36.2807296,-9.49,-1.14,-5.41
36.35622707,2.08,0.63,1.57
36.41494733,-2.2,-0.51,-0.94
36.48205619,-2.12,3.57,-6.47
36.5911081,-20.01,0.82,-9.65
36.66660557,-20.01,2.35,-8.59
36.71693722,-5.77,0.16,-2.35
36.78404608,0.71,-0.08,-0.12
36.85954355,-0.82,1.45,-1.61
36.94342963,-16.59,-0.08,-13.22
37.04409293,-20.01,2.63,-8.87
37.14475622,-16.04,0.51,-8.67
37.24541952,-1.33,0.04,-0.51
37.32091699,1.02,0.12,-0.78
37.37124864,-3.22,1.8,-3.26
37.4383575,-20.01,-1.92,-6.47
37.51385498,-20.01,2.16,-7.81
37.60612966,-11.53,0.51,-5.3
37.69840435,0.78,-0.43,0.82
37.80745626,0.86,0.59,-3.26
37.88295373,-7.1,-1.06,-7.53
37.96683981,-20.01,8.08,-10.67
38.07589171,-20.01,1.06,-10.28
38.15138918,-5.92,1.06,-4.24
38.19333222,0.55,2.35,-0.35
38.2688297,0.2,-0.63,-3.22
38.36949299,-6.79,-1.88,-9.1
38.43660186,-20.01,5.49,-10.24
38.52048794,-20.01,-0.24,-7.26
38.61276262,-5.02,1.57,-1.92
38.67987149,1.96,2.08,-1.29
39.14963354,-4,1.69,-3.06
39.2167424,-20.01,-1.41,-15.14
39.24190822,-19.02,-4.51,-12
39.25868544,-13.85,1.73,-7.26
39.27546266,0.82,-0.12,0.82
39.29223987,-1.26,0.43,-2.28
39.35096013,-1.96,2.16,-2.43
39.35934874,-20.01,-0.12,-6.28
39.39290317,-20.01,-2.71,-8.12
39.45162342,-5.77,3.1,-5.49
39.5355095,3.18,0.55,0.24
39.62778419,-2.82,-1.57,-1.61
39.72005888,-10.2,-0.35,-4.59
39.82911078,-20.01,2.24,-11.53
39.93816269,-20.01,1.57,-10.2
40.02204877,-1.88,1.53,-1.33
40.08076902,-4.94,2.94,1.45
40.13110067,-2.59,-1.1,-0.67
40.19820954,-15.1,-1.29,-10.2
40.29048422,-20.01,3.45,-12.75
40.38275891,-17.81,1.29,-8.98
40.48342221,-0.94,0.08,-0.43
40.55891968,-1.8,0.2,0.27
40.60925133,-1.65,-0.43,-2.43
40.6847488,-17.22,6.83,-7.88
40.77702349,-20.01,0.98,-10.32
40.87768678,-10.94,0,-6.98
40.96157286,2.35,-1.8,-0.35
41.03707034,-0.16,3.14,-1.22
41.14612224,-2.86,2.04,-2.71
41.22161971,-20.01,-0.86,-5.61
41.28033997,-20.01,2.79,-7.37
41.33906022,-10.94,2.59,-5.18
41.38939187,4.31,0.27,-1.22
41.47327795,-1.77,-0.59,-1.14
41.56555264,-6.55,-1.84,-2.71
41.68299315,-20.01,5.22,-10.63
41.75849062,-20.01,3.69,-9.49
41.81721088,-7.41,0.55,-4.39
41.89270835,-1.53,-0.04,0.9
41.97659443,-0.94,2.51,-2.31
42.07725773,-5.81,-0.9,-10.83
42.17792102,-20.01,3.41,-8.55
42.2534185,-20.01,2.24,-8.2
42.34569318,-1.84,0.63,-2.79
42.41280205,-0.04,-0.47,-1.49
42.49668813,-0.55,0.71,-2.04
42.59735142,-20.01,5.02,-9.89
42.6728489,-20.01,4.47,-8.63
42.73995776,-11.85,0.67,-7.37
42.79028941,2.59,-3.18,0
42.86578688,-1.29,3.41,-2
42.97483878,0.63,2,-3.65
43.08389069,-20.01,2.67,-9.65
43.15938816,-20.01,2.71,-9.02
43.21810842,-8.9,1.18,-5.06
