NAME:,matan r 2,,
EXPERIMENT TIME:,Thu Jun 01 12:45:58 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,163,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
41.90948557,1.88,-0.55,-1.29
41.99337165,-4.94,-4.39,-3.61
42.07725773,1.53,-4.79,-6.08
42.20308685,20.01,-4.82,-20.01
42.27019571,12.79,0.2,-7.3
42.32891597,-7.61,1.26,-0.94
42.38763622,-3.8,2.63,-3.73
42.48829952,9.65,5.02,-13.85
42.55540838,19.61,4.28,-9.61
42.63929446,4.39,-1.45,-5.77
42.73995776,-5.1,-5.22,-1.77
42.79867802,1.22,0.04,-4.39
42.8825641,20.01,-6.35,-20.01
42.97483878,14.59,0,-7.14
43.05872486,-4.2,1.45,-0.71
43.18455398,-5.3,2.39,-5.06
43.25166285,-1.53,7.1,-13.53
43.31877171,20.01,8.79,-16.36
43.36071475,10.51,-0.35,-5.65
43.45298944,-3.96,-3.88,-3.1
43.53687552,-2.28,-0.24,-3.57
43.6207616,20.01,-0.55,-19.5
43.70464768,18.75,-2.2,-6.83
43.77175654,2,0.2,-3.69
43.87241984,-9.41,4.28,-4.08
43.9311401,3.88,3.14,-3.8
44.01502618,20.01,9.34,-20.01
44.11568947,11.53,-0.71,-4.94
44.17440973,-3.02,-2.2,-1.26
44.2499072,-3.8,-3.69,-3.3
44.33379328,12.32,-3.77,-15.22
44.42606797,19.85,-1.84,-12.32
44.50995405,8.71,0.82,-5.77
44.59384013,-9.69,3.69,-2.24
44.6693376,1.49,1.53,-2.98
45.1978199,20.01,2.16,-14.28
45.70113638,14.32,4.98,-9.57
45.73469082,1.65,-1.45,-1.53
45.73469082,-6.67,-5.1,-1.8
45.74307942,1.33,-4.79,-7.85
45.76824525,20.01,-1.1,-20.01
45.80179968,1.69,-0.2,-4.08
45.88568576,20.01,-6.08,-20.01
45.96118323,13.49,1.61,-8
46.0366807,-4.51,1.69,-0.71
46.17089843,-4.47,2.31,-4.04
46.22961869,6.83,7.3,-14.79
46.28833894,19.38,5.14,-8.71
46.38061363,9.53,-1.69,-6.28
46.4477225,-5.02,-2.9,-2.31
46.53999718,-0.71,-1.84,-3.53
46.62388326,20.01,0,-20.01
46.70776934,15.73,-0.43,-5.26
46.77487821,-0.59,0.08,-0.43
46.85876429,-5.77,3.14,-3.37
46.94265037,4.63,6.71,-16.28
47.00975923,20.01,7.65,-13.42
47.14397696,5.49,-0.9,-5.06
47.19430861,-5.61,-3.77,-0.98
47.26141747,-0.12,-0.27,-2.59
47.34530355,20.01,-1.61,-13.49
47.42918963,19.93,-3.57,-8.2
47.4962985,4.16,2.24,-5.57
47.58018458,-9.49,2.28,-1.92
47.66407066,3.06,2.63,-3.49
47.73956813,20.01,2.24,-20.01
47.84862003,12.08,4.08,-8.36
47.95767194,-4.47,-3.92,-1.45
48.0247808,0.16,1.22,-12.04
48.09188966,9.61,-4.94,-13.06
48.14222131,20.01,-0.63,-12.83
48.22610739,6.63,2.12,-5.73
48.30999347,-8.24,2.67,-2.59
48.39387955,2.51,1.84,-3.41
48.48615424,20.01,4.08,-20.01
48.5448745,15.34,5.77,-10.47
48.63714918,0.75,-1.49,-2.04
48.72103526,-7.73,-6.04,-2.47
48.80492134,4.08,-5.96,-8.08
48.91397325,20.01,-3.02,-20.01
48.9726935,14.55,1.77,-9.41
49.05657958,-3.84,0.39,-1.77
49.12368845,-4.79,2.2,-0.47
49.19079731,-2,10,-14.12
49.27468339,20.01,4.43,-10.32
49.3837353,9.22,-0.35,-2.82
49.45084416,-3.8,-3.1,-1.73
49.53473024,-0.78,-0.9,-3.8
49.61861632,19.65,-4.82,-20.01
49.67733658,14.12,1.73,-5.81
49.76122266,0.75,1.84,-1.61
49.87027456,-5.3,1.33,-4.47
49.93738342,3.3,8.75,-11.65
50.00449229,19.97,7.69,-10.87
50.09676698,6.86,-3.02,-4.59
50.18904166,-3.65,-2.86,-2.08
50.26453914,-0.71,-1.14,-3.53
50.35681382,19.85,-4.16,-20.01
50.41553408,16.87,-3.61,-7.88
50.50780877,-0.51,-0.12,0
50.60008346,-7.61,4.79,-3.1
50.65880371,3.18,3.77,-9.85
51.17889741,20.01,7.34,-20.01
51.68221389,9.1,-1.92,-6.28
51.71576832,-0.51,-3.22,-1.53
51.71576832,-3.49,-1.33,-2.71
51.72415693,11.26,-3.84,-10.9
51.74932275,19.85,-1.26,-7.73
51.75771136,-5.81,-5.26,-3.26
51.7996544,2.94,-4.31,-9.92
51.92548352,20.01,-0.94,-16.44
51.98420378,10.94,1.61,-6.59
52.04292403,-7.37,0.16,-0.75
52.12681011,-2.79,2.24,-3.26
52.19391898,6.47,5.81,-11.45
52.27780506,20.01,4.28,-3.06
52.36169114,6.71,-0.9,-3.8
52.45396582,-8.55,-5.49,-1.14
52.5294633,3.88,-0.98,-3.96
52.61334938,20.01,-1.1,-20.01
52.67206963,10.16,1.02,-8.08
52.81467597,-8.04,2.04,-1.22
52.88178483,-1.33,0.08,-2.04
52.94050509,4.9,4.9,-12.55
53.01600256,20.01,5.73,-15.42
53.09988864,8.67,-0.71,-5.49
53.17538611,-9.69,-5.41,-0.12
53.25088358,0.86,-1.06,-5.84
53.34315827,20.01,-7.1,-20.01
53.43543296,12.47,2.51,-6.75
53.48576461,-5.02,-2.16,-1.1
53.5780393,-3.1,0.78,-2.67
53.70386842,15.89,4.67,-15.14
53.77097728,17.57,5.73,-12
53.83808614,6.39,-2.28,-3.61
53.90519501,-5.3,-4.79,-1.49
53.98908109,2.16,-0.78,-4.79
54.07296717,20.01,-5.65,-20.01
54.13168742,9.65,0.08,-7.65
54.2155735,-7.61,2.2,-1.37
54.29945958,-1.45,0.39,-1.69
54.39173427,-2.12,7.88,-20.01
54.48400896,20.01,7.37,-13.45
54.54272922,9.02,-1.1,-5.96
54.66855834,-5.18,-4.04,-2.04
54.7356672,-1.49,0.08,-2.31
54.81116467,20.01,-5.53,-5.73
54.87827354,20.01,-4.71,-7.61
54.96215962,5.57,3.02,-5.33
55.0460457,-10.43,3.02,-1.73
55.11315456,2,0.12,-3.73
55.19704064,20.01,7.3,-20.01
55.28092672,13.45,2.94,-11.02
55.37320141,-0.47,-0.12,-1.06
55.44869888,-6.59,-5.14,-2.31
55.53258496,3.65,-3.77,-14.91
55.60808243,20.01,-2.39,-13.49
55.6751913,8.67,2.47,-6.32
55.81779763,-11.02,2.63,-1.53
55.86812928,1.65,2.2,-3.69
