NAME:,walk arbel.csv,,
EXPERIMENT TIME:,18/06/2023 9:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
38.97,1.57,-0.67,-12.36
39.07,0.57,-0.27,-9.92
39.17,0.9,-0.9,-10.28
39.269997,0.31,-0.86,-8.24
39.379997,0.47,-0.75,-9.1
39.479996,1.02,-0.71,-10.55
39.58,3.3,-2.98,-14.28
39.68,0.37,-0.63,-10.16
39.78,0.98,-1.26,-11.61
39.89,0.27,0.08,-8.04
39.989998,0.78,-0.24,-9.69
40.089996,0.55,-0.35,-10.04
40.190002,0.78,-0.12,-12.2
40.29,0.55,0.71,-11.41
40.4,0.65,-0.9,-9.22
40.5,0.55,0.04,-8.83
40.6,0.31,-0.94,-9.61
40.699997,1.29,-1.22,-10.08
40.799995,0.27,-0.94,-11.26
40.909996,2.51,0.24,-13.61
41.010002,0.88,0.47,-8.55
41.11,0.67,-1.06,-10.43
41.21,0.86,0,-8.79
41.309998,2.39,-0.78,-9.34
41.42,1.1,-0.31,-12
41.519997,-3.77,-1.73,-13.42
41.619995,0.39,-0.9,-8
41.72,0.08,-0.39,-9.77
41.82,1.18,-0.86,-9.38
41.93,0.94,-1.22,-8.87
42.03,1.61,-1.26,-10.63
42.129997,3.84,-2.47,-13.22
42.229996,0.22,-1.49,-10.08
42.33,0.04,-1.57,-11.14
42.440002,0.2,-0.24,-8.08
42.54,0.98,-0.51,-9.06
42.64,1.77,-0.82,-10.75
42.739998,1.26,-0.27,-12.55
42.839996,0.31,0.35,-12.75
42.949997,0.73,-0.51,-8.47
43.049995,0.2,-0.78,-8.08
43.15,0.98,-1.18,-10
43.25,1.06,-0.82,-9.3
43.35,1.37,-1.57,-11.18
43.46,0.98,-0.08,-14.08
43.559998,0.86,0.59,-7.57
43.659996,0.08,-0.75,-10.36
43.760002,0.16,-0.12,-8.47
43.86,1.26,-0.31,-9.26
43.97,1.45,-0.51,-11.26
44.07,2.2,-0.12,-13.1
44.17,0.41,-0.35,-10
44.269997,0.02,-0.16,-10.9
44.369995,0.08,-0.82,-8.59
44.479996,-1.06,-0.82,-9.41
44.58,1.37,-0.98,-10.04
44.68,0.35,-1.65,-12.24
44.78,0.2,-1.61,-13.38
44.879997,0.65,0.04,-9.57
44.989998,0.12,0.12,-8.43
45.089996,0.08,0,-9.1
45.190002,1.84,-0.59,-10.04
45.29,1.18,-0.16,-11.96
45.39,2.79,-0.75,-12.08
45.5,0.08,-0.63,-9.53
45.6,0.04,-0.16,-9.53
45.699997,0.16,-0.63,-9.69
45.799995,1.33,-0.82,-9.1
45.9,0.9,-0.63,-10.71
46.010002,3.1,-2,-12.83
46.11,0.61,0.04,-8.16
46.21,0.04,-0.63,-11.49
46.309998,0.04,0.2,-8.43
46.409996,0.24,-0.24,-9.1
46.519997,1.26,-0.47,-10.43
46.619995,0.9,-0.04,-12.24
46.72,0.51,0.08,-12.63
46.82,0.8,-0.55,-9.26
46.92,0.06,-0.43,-8.75
47.03,0.24,-0.51,-10
47.129997,0,-0.47,-9.53
47.229996,0.55,-0.71,-12.32
47.33,1.33,-0.27,-13.38
47.43,0.69,1.61,-7.53
47.54,0.43,-0.24,-9.89
47.64,0.35,-0.27,-8.32
47.739998,1.69,0.31,-9.61
47.839996,1.77,-0.59,-11.41
47.940002,3.73,-1.49,-11.57
48.049995,0.12,0.78,-10.4
48.15,0.98,-0.63,-10.98
48.25,0.67,-0.47,-8.94
48.35,1.57,-0.86,-9.41
48.449997,2.08,-0.55,-9.77
48.559998,1.53,-1.18,-11.3
48.659996,1.88,0.04,-13.18
48.760002,0.88,0.24,-7.69
48.86,0.94,-0.86,-11.53
48.96,-0.59,-0.43,-8.9
49.07,1.65,-0.31,-8.83
49.17,-1.29,0.27,-10.08
49.269997,3.53,-0.2,-12.94
49.369995,0.35,1.1,-11.34
49.47,0.24,-1.37,-8
49.58,0.9,0.59,-10.24
49.68,1.1,-0.24,-9.38
49.78,1.57,-0.39,-8.98
49.879997,1.06,-0.08,-10.51
49.979996,4.35,-0.43,-13.26
50.089996,0.2,-0.31,-10.4
50.190002,0.27,-0.43,-10.4
50.29,0.16,0.55,-9.02
50.39,0.43,0.27,-9.22
50.489998,1.8,0.08,-10.4
50.6,1.61,-0.27,-11.49
50.699997,1.57,-0.27,-13.61
50.799995,0.33,0,-7.65
50.9,0.94,-0.2,-10.2
51,0.9,-0.47,-9.53
51.11,0.71,-0.47,-9.3
51.21,1.41,-0.35,-11.02
51.309998,3.3,-0.63,-12.51
51.409996,1.14,-0.51,-11.1
51.510002,0.9,-0.16,-10.47
51.619995,0.39,0.24,-8.04
51.72,0.63,0.35,-9.77
51.82,2.24,0.04,-10
51.92,-1.37,0.31,-12.47
52.019997,1.1,1.14,-12.36
52.129997,2.12,-0.31,-7.88
52.229996,1.57,-0.51,-9.69
52.33,1.57,-0.51,-9.77
52.43,2.16,-0.67,-9.14
52.53,0.43,-1.57,-10.59
52.64,4.43,-0.55,-13.45
52.739998,0.82,0.59,-9.41
52.839996,0.31,-0.31,-11.18
52.940002,0.04,0.08,-8.28
53.04,0.98,0.75,-9.61
53.15,1.96,0,-10.32
53.25,1.57,0.71,-11.96
53.35,-1.26,0.9,-12.12
53.449997,0.84,-0.43,-7.92
53.549995,0.94,-0.12,-9.45
53.659996,1.69,-0.47,-9.85
53.760002,1.49,-0.43,-9.34
53.86,-1.18,-0.47,-10.55
53.96,-3.06,-0.08,-14.08
54.059998,0.59,1.1,-8.67
54.17,0.71,-0.75,-11.26
54.269997,0.9,0.78,-8.51
54.369995,0.63,0.51,-8.98
54.47,1.77,-0.2,-10.79
54.57,1.22,0.86,-11.49
54.68,0.31,1.22,-12.12
54.78,0.18,0,-9.57
54.879997,0.82,0.04,-8.71
54.979996,0.78,-0.2,-9.92
55.08,1.29,-0.24,-9.61
55.190002,0.94,-0.9,-11.57
55.29,1.61,0.86,-12.94
55.39,0.37,1.02,-8.39
55.489998,0.82,0.43,-10.51
55.589996,0.24,0.55,-8.75
55.699997,-1.14,0.67,-9.14
55.799995,0.82,0.39,-10.59
55.9,1.88,0,-14.08
56,1.77,-0.24,-10.87
56.100006,0.57,0.04,-10.12
56.20999,0.86,-0.24,-8.2
56.309998,-1.14,-0.24,-10.08
56.410004,1.33,-0.43,-10.55
56.509995,1.61,-2,-12.32
56.61,0.08,-0.47,-12.51
56.72,0.47,0.71,-8.24
56.819992,0.47,-0.39,-9.89
56.92,0.12,0.31,-9.65
57.020004,1.37,-0.2,-9.69
57.119995,1.02,0,-11.77
57.229996,1.77,-0.35,-13.1
57.33,0.49,0,-7.77
57.429993,0.71,-0.55,-11.53
57.53,0.16,0.04,-9.14
57.630005,0.51,-0.78,-8.9
57.740005,0.94,-0.24,-10.9
57.839996,3.65,-1.49,-14.2
57.940002,0.59,-0.35,-9.41
58.039993,0.67,-0.86,-11.22
58.14,0.2,-0.04,-7.18
58.25,0.27,0.2,-9.73
58.350006,1.73,0.31,-10.67
58.449997,1.06,0.59,-12.28
58.550003,0.16,1.26,-13.61
58.649994,0.08,-0.55,-6.67
58.759995,0.12,-0.08,-9.92
58.86,0.55,-0.08,-9.73
58.95999,1.22,-0.27,-9.53
59.059998,0.67,-0.47,-10.75
59.160004,3.14,-0.16,-14.24
59.270004,0.82,0.55,-9.18
59.369995,0.16,-1.26,-11.53
59.47,-0.24,0.43,-7.69
59.569992,0.55,0.39,-9.49
59.67,2.28,0.04,-10.55
59.78,1.33,1.45,-12.71
59.880005,0.22,0.71,-11.96
59.979996,0.61,-0.2,-9.34
60.08,-0.08,-0.08,-8.47
60.179993,-0.94,-0.24,-9.81
60.289993,1.49,-0.47,-9.92
60.39,0.94,-1.18,-11.81
60.490005,0.24,-1.29,-12.87
60.589996,0.43,0.43,-8.16
60.690002,0.27,-0.27,-9.77
60.800003,0.24,0.43,-9.49
60.899994,0.78,0.27,-9.96
61,0.55,0.31,-11.89
61.100006,1.06,-0.39,-12.43
61.199997,0.14,-0.2,-6.94
61.309998,-0.67,0.04,-9.3
61.410004,1.02,0.04,-9.41
61.509995,0.9,-0.39,-9.14
61.61,-1.33,-0.27,-11.22
61.70999,2.51,0.16,-14.08
61.819992,0.3,-0.24,-7.85
61.92,0.08,-1.1,-10.28
62.020004,0.2,0.86,-9.06
62.119995,1.29,0.55,-10.2
62.22,0.94,0.55,-10.75
62.33,3.57,-1.22,-12.32
62.429993,0.98,1.14,-10.71
62.53,0.47,-1.14,-10.51
